	IDRegent	IDBron	deel en paginanummer
1333	826	9	117.
1334	827	2	152.
1335	828	2	152.
1336	828	12	VI, 930.
1337	829	2	153.
1338	829	4	VIII, 100.
1339	829	8	87 (1998) 165.
1340	829	12	I, 1263.
1341	830	2	154.
1342	831	2	155.
1343	832	2	155.
1344	832	4	VIII, 112.
1345	832	12	IX, 600.
1346	832	15	18.
1347	833	2	156.
1348	833	8	87 (1998) 220.
1349	833	9	79.
1350	833	12	III, 765.
1351	834	2	158.
1352	834	19	109.
1353	835	2	159.
1354	836	2	160.
1355	836	4	VIII, 54.
1356	836	26	363.
1357	838	2	161.
1358	839	2	162.
1359	839	4	VIII, 210.
1360	839	12	V, 325.
1361	840	2	162.
1362	840	19	146.
1363	841	2	163.
1364	842	2	164.
1365	843	2	165.
1366	843	12	VIII, 1126.
1367	844	12	IX, 654.
1368	846	2	166.
1369	846	12	IX, 667.
1370	847	2	167.
1371	848	2	167.
1372	849	2	168.
1373	849	5	301.
1374	850	2	168.
1375	850	5	674.
1376	851	2	168.
1377	852	2	169.
1378	853	2	169.
1379	853	9	145.
1380	853	20	255.
1381	854	2	170.
1382	854	12	VIII, 1153.
1383	855	2	172.
1384	856	2	173.
1385	856	7	75 (1991) 210.
1386	856	12	I, 1343.
1387	857	2	174.
1388	858	2	175.
1389	858	4	IX, 67.
1390	858	12	VIII, 1217.
1391	859	2	175.
1392	859	5	372.
1393	860	2	176.
1394	861	2	176.
1395	862	2	177.
1396	863	2	178.
1397	863	4	IX, 4.
1398	863	12	II, 101.
1399	864	2	179.
1400	865	2	180.
1401	866	2	180.
1402	867	2	181.
1403	867	5	677.
1404	868	2	183.
