	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
21	49	Bie	de	1.0	1.0	Joris	0					0	1628.0	0	Meilink spreekt abusievelijk over Joris de Brie.	0
22	51	Godijn		1.0	1.0	Jacob	0					0		0		0
23	52	Trompes	des	1.0	1.0	Jan	0		Berlaymont			0	1576.0	0	Overig: stadhouder land en graafschap van Namen. Auditeur Rekenkamer Rijssel 1570.	0
24	56	Jonge	de	1.0	1.0	Josse	0					0		0		0
25	58	Doublet		1.0	1.0	Filips	0				1560	1	1612.0	0		0
26	64	Hoef	van der	1.0	3.0	Adriaan	0					0		0		0
27	65	Jansz.		1.0	3.0	Lieven	0					0	1574.0	0		0
28	67	Kok	de	1.0	3.0	Willem	0					0		0		0
29	71	Meer	van der	1.0	3.0	Willem Willemsz.	0				1494	0	1543.0	0	"Ook als Willem Willemsz. van Alkmaar bekend. Vader van Pieter en Willem van der Meer.
Pensionaris van Delft 1518. Kanselier van Gelderland 1543. Procureur-genraal en raadsheer van het Hof van Utrecht 1530-1536."	0
30	73	Waard	de	1.0	3.0	Christiaan	0					0	1568.0	0		0
31	76	Bie	van der	1.0	1.0	Frank	0					0		0		0
32	78	Kalf		1.0	1.0	Willem Maartensz.	0					0	1586.0	0		0
33	79	Flory	van	1.0	1.0	Gillis	0					0	1623.0	0		0
34	84	Menijn	de	1.0	3.0	Joost	0					0		0	Overig: pensionaris van Dordrecht.	0
35	88	Goeree		1.0	1.0	Job Willemsz.	0					0		0		0
36	90	Boullin		1.0	3.0	Jan	0					0	1500.0	1	Overig: rentmeester van exploten van Raad van Vlaanderen 1477-1489 en procureur-generaal aldaar 1489-1490.	0
37	91	Goud		11.0	3.0	Jacob Arendsz.	1		Lek			0	1510.0	1	Overig: Hoogheemraad van Delfland 1505-1510. Rentmeester van abt en prelaat van Egmond na 1501. Rentmeester? van Naaldwijk voor 1494- na 1495.	0
38	99	Jonge	de	11.0	3.0	Reinier Cornelisz.	1		Baardwijk	Lek	1475	1	1514.0	0	Persoonsgegevens: zoon van Cornelis de Jonge (ov. 1504).	0
39	101	Oudheusden	van	8.0	3.0	Jan	1		Oudheusden	Emmikhoven, Giessen, Poederoijen		0	1537.0	0		0
40	108	Nicolai		1.0	5.0	Arnoud	0				1528	0	1592.0	0	"Persoonsgegevens: zoon van Everard Nicolai.
Overig: Raad in Leenhof van Holland na 1565 tot na 1575."	0
