	IDRegent	IDBron	deel en paginanummer
756	3273	3	X, 588.
757	3274	3	II, 886.
758	3275	2	55 (1969) 182.
759	3276	2	45 (1959) 211.
760	3277	3	IV, 981.
761	3278	3	VI, 1020.
762	3279	1	88 (1999) 491.
763	3279	16	227.
764	3281	1	89 (2000/2001) 69.
765	3282	2	6 (1915) 276.
766	3284	2	40 (1954) 329.
767	3287	1	89 (2000/2001) 450.
768	3288	1	42 (1949) 471.
769	3288	3	X, 742.
770	3288	13	185.
771	3288	16	240.
772	3289	2	75 (1991) 263.
773	3289	3	X, 746.
774	3289	15	203.
775	3291	1	43 (1950)  35.
776	3292	1	43 (1950)  187.
777	3292	3	III, 1022.
778	3293	1	43 (1950)  221.
779	3293	16	247.
780	3294	1	91 (2004/2005) 158.
781	3295	16	257.
782	3298	1	44 (1951) 307.
783	3298	3	IX, 1034.
784	3298	13	217.
785	3299	1	44 (1951) 457.
786	3299	3	II, 1339.
787	3300	2	78 (1994) 403.
788	3300	13	220.
789	3302	2	19 (1930) 216.
790	3305	1	45 (1952) 80.
791	3306	1	45 (1952) 94.
792	3307	2	52 (1966) 351.
793	3308	3	IV, 1289.
794	3309	1	45 (1952) 248.
795	3309	3	VII, 1203.
796	3310	1	45 (1952) 274.
797	3311	2	12 (1921/1922) 297.
798	3312	1	46 (1953) 4.
799	3313	1	46 (1953) 99.
800	3313	2	54 (1968) 307.
801	3313	15	247.
802	3314	2	53 (1967) 289.
803	3317	16	304.
804	3320	2	36 (1950) 370.
805	3320	15	261.
806	3320	16	309.
807	3321	1	46 (1953) 391.
808	3321	16	309.
809	3322	1	85 (1995) 8.
810	3322	13	107.
811	3323	2	67 (1983) 155.
812	3323	32	286.
813	3323	33	109.
814	3325	1	86 (1996/1997) 305.
815	3325	3	VIII, 958.
816	3326	1	82 (1992) 297.
817	3326	3	IV, 596.
818	3327	1	44 (1951) 412.
819	3328	1	45 (1952) 256.
820	3328	3	IX, 1104.
821	3329	1	81 (1990/1991) 283.
822	3329	3	VIII, 296.
823	3330	3	I, 549.
824	3331	2	27 (1941) 313.
825	3332	1	84 (1994) 380.
826	3332	3	III, 559.
827	3333	2	49 (1963) 141.
828	3333	3	IV, 606.
829	3334	2	12 (1921/1922) 61.
830	3334	3	II, 190.
831	3335	1	45 (1952) 257.
832	3335	3	IX, 1103.
833	3336	1	43 (1950) 255.
834	3336	3	III, 1064.
835	3337	2	77 (1993) 187.
836	3337	3	VIII, 267.
837	3339	2	77 (1993) 406.
838	3340	2	3 (1912) 27.
839	3340	3	II, 166.
840	3341	2	77 (1993) 294.
841	3341	3	X, 353.
842	3342	2	77 (1993) 170.
843	3342	3	IV, 346.
844	3343	1	46 (1953) 16.
845	3343	3	IX, 1161.
846	3344	3	VI, 214.
847	3345	3	II, 1414.
848	3346	1	84 (1994) 382.
849	3346	3	III, 558.
850	3347	2	40 (1954) 94.
851	3348	1	87 (1998) 542.
852	3348	3	VIII, 1085.
853	3349	2	60 (1974) 28.
854	3349	3	IV, 21.
855	3350	1	84 (1994) 294.
856	3350	3	VIII, 725.
857	3351	1	87 (1998) 610.
858	3351	3	III, 802.
859	3353	1	43 (1950) 93.
860	3353	3	IX, 839.
861	3354	1	87 (1998) 295.
862	3355	2	48 (1962) 84.
863	3355	3	IV, 546.
864	3356	1	89 (2000/2001) 16.
865	3356	3	VIII, 1199.
866	3357	3	VII, 932.
867	3358	1	80 (1989) 399.
868	3359	2	26 (1940) 239.
869	3360	1	43 (1950) 362.
870	3360	3	IX, 884.
871	3361	2	6 (1915) 144.
872	3362	2	39 (1953) 155.
873	3362	3	III, 677.
874	3363	3	VII, 924.
875	3364	2	40 (1954) 145.
876	3364	3	VIII, 610.
877	3364	11	1 (1906) 156.
878	3365	3	IX, 433.
879	3366	2	40 (1954) 146.
880	3366	3	VIII, 612.
881	3366	11	1 (1906) 158.
882	3367	1	44 (1951) 249.
883	3369	1	79 (1988) 55.
884	3370	1	43 (1950) 50.
885	3370	3	X, 771.
886	3371	2	52 (1966) 62.
887	3373	2	38 (1952) 244.
888	3373	3	IX, 681.
889	3373	33	112.
890	3374	1	89 (2000/2001) 371.
891	3374	3	X, 708.
892	3375	2	18 (1928/1929) 219.
893	3375	3	IV, 1344.
894	3376	2	20 (1931/1932) 348.
895	3376	3	X, 1195.
896	3379	1	80 (1989) 148.
897	3379	13	44.
898	3380	13	54.
899	3382	1	81 (1990/1991) 171.
900	3382	16	143.
901	3383	1	83 (1993) 198.
902	3384	1	84 (1994) 461.
903	3385	2	51 (1965) 60.
904	3385	3	VIII, 838.
905	3385	13	119.
906	3386	2	80 (1997) 151.
